,Base Text,Comparison Text,Chi2 Statistic
0,columbani,germani,1
1,columbani,germani,1
2,columbani,germani,1
3,columbani,germani,1
4,columbani,germani,1
5,columbani,germani,1
6,columbani,germani,1
7,columbani,germani,1
8,columbani,germani,1
9,columbani,germani,1
10,columbani,johannes,1
11,columbani,johannes,1
12,columbani,johannes,1
13,columbani,johannes,1
14,columbani,johannes,1
15,columbani,johannes,1
16,columbani,johannes,1
17,columbani,johannes,1
18,columbani,johannes,1
19,columbani,johannes,1
20,columbani,leodegar_anon,1
21,columbani,leodegar_anon,1
22,columbani,leodegar_anon,1
23,columbani,leodegar_anon,1
24,columbani,leodegar_anon,1
25,columbani,leodegar_anon,1
26,columbani,leodegar_anon,1
27,columbani,leodegar_anon,1
28,columbani,leodegar_anon,1
29,columbani,leodegar_anon,1
30,columbani,leodegar_ursino,1
31,columbani,leodegar_ursino,1
32,columbani,leodegar_ursino,1
33,columbani,leodegar_ursino,1
34,columbani,leodegar_ursino,1
35,columbani,leodegar_ursino,1
36,columbani,leodegar_ursino,1
37,columbani,leodegar_ursino,1
38,columbani,leodegar_ursino,1
39,columbani,leodegar_ursino,1
40,columbani,radegundis_Fortunatus,1
41,columbani,radegundis_Fortunatus,1
42,columbani,radegundis_Fortunatus,1
43,columbani,radegundis_Fortunatus,1
44,columbani,radegundis_Fortunatus,1
45,columbani,radegundis_Fortunatus,1
46,columbani,radegundis_Fortunatus,1
47,columbani,radegundis_Fortunatus,1
48,columbani,radegundis_Fortunatus,1
49,columbani,radegundis_Fortunatus,1
50,columbani,Vedasti_Ionas_Bob,1
51,columbani,Vedasti_Ionas_Bob,1
52,columbani,Vedasti_Ionas_Bob,1
53,columbani,Vedasti_Ionas_Bob,1
54,columbani,Vedasti_Ionas_Bob,1
55,columbani,Vedasti_Ionas_Bob,1
56,columbani,Vedasti_Ionas_Bob,1
57,columbani,Vedasti_Ionas_Bob,1
58,columbani,Vedasti_Ionas_Bob,1
59,columbani,Vedasti_Ionas_Bob,1
60,germani,columbani,1
61,germani,columbani,1
62,germani,columbani,1
63,germani,columbani,1
64,germani,columbani,1
65,germani,columbani,1
66,germani,columbani,1
67,germani,columbani,1
68,germani,columbani,1
69,germani,columbani,1
