,columbani,germani,johannes,leodegar_anon,leodegar_ursino,praeiecti,radegundis_Fortunatus,Vedasti_Ionas_Bob
0,42.28852446313444,158.3713578088578,70.20361854161814,14.902633418019837,29.812596833605237,58.10437509380034,52.375216492433815,20.278306884034436
1,32.98045524444751,86.14489348370927,123.54814601851685,26.969685545772602,46.6418250377074,35.12276245708792,60.47996942096321,133.32616550116552
2,66.14297062633584,77.85483586365939,30.802298779651714,44.118833118322826,44.732504434938505,54.83689484477749,34.33981606658866,69.88481715652769
3,41.06936383834529,74.9557923071081,89.32902604641737,104.11023438387731,21.378650018711934,67.35459143582746,91.29778750262967,52.35480525666285
4,26.383322673689797,71.5476345724829,44.24041054261643,84.35925707534689,46.89084083034388,51.45325576655782,19.033521765758614,44.05094268476622
5,59.863218485081134,85.31795167198393,91.07438063469834,50.35283511043876,59.00569199024753,51.307020931070554,31.81217186505412,83.48466117216118
6,32.22160095915813,60.75614385614385,59.485765084588614,45.52061478883848,38.35339743685388,20.129875261141244,32.978233827575934,49.147952047952046
7,46.097489172686856,88.9395935960591,53.838324420677374,40.48556231394229,26.81614283294037,43.468094160638856,28.848189137500473,59.558791208791206
8,37.03339844377873,76.50600867141117,155.87022295239422,40.291350742724006,27.371779785232324,91.28035682595178,30.242363535643253,58.17245670995671
9,25.29166741902331,69.30612338979479,159.06450811093669,26.85558287631256,35.97377662415584,46.738112033103306,37.143957017429564,60.36594932844933
