,Base Text,Comparison Text,Chi2 Statistic
0,columbani,germani,90.36544905043357
1,columbani,germani,98.80040283503905
2,columbani,germani,81.15740718689635
3,columbani,germani,50.60661453242098
4,columbani,germani,101.41009803112796
5,columbani,germani,118.22663610898903
6,columbani,germani,243.84482254101664
7,columbani,germani,111.90474970291146
8,columbani,germani,105.07657456922163
9,columbani,germani,84.98836509800532
10,columbani,johannes,80.42942311311877
11,columbani,johannes,105.78395758303321
12,columbani,johannes,201.027063881108
13,columbani,johannes,272.73421271340686
14,columbani,johannes,56.29352128492388
15,columbani,johannes,141.46228073352754
16,columbani,johannes,182.96714647671172
17,columbani,johannes,121.81641865289693
18,columbani,johannes,100.87739552114552
19,columbani,johannes,163.87600322737796
20,columbani,leodegar_anon,394.15970746737344
21,columbani,leodegar_anon,249.2226251991566
22,columbani,leodegar_anon,293.596462684398
23,columbani,leodegar_anon,326.8366927991316
24,columbani,leodegar_anon,197.32826233143572
25,columbani,leodegar_anon,925.9180406326293
26,columbani,leodegar_anon,343.8703429411091
27,columbani,leodegar_anon,278.50661905834204
28,columbani,leodegar_anon,367.7780992131704
29,columbani,leodegar_anon,169.12117946708463
30,columbani,leodegar_ursino,488.4540961892374
31,columbani,leodegar_ursino,361.50203327596694
32,columbani,leodegar_ursino,307.32786754720587
33,columbani,leodegar_ursino,405.4298656002086
34,columbani,leodegar_ursino,219.48667811861327
35,columbani,leodegar_ursino,166.72601004020973
36,columbani,leodegar_ursino,306.50659056046663
37,columbani,leodegar_ursino,208.7782441963408
38,columbani,leodegar_ursino,136.8290475661431
39,columbani,leodegar_ursino,257.0783079679077
40,columbani,radegundis_Fortunatus,268.4901035196687
41,columbani,radegundis_Fortunatus,315.7724816849817
42,columbani,radegundis_Fortunatus,447.7828078905537
43,columbani,radegundis_Fortunatus,333.74133565440076
44,columbani,radegundis_Fortunatus,205.08554772522163
45,columbani,radegundis_Fortunatus,201.1337129850478
46,columbani,radegundis_Fortunatus,383.9549976995629
47,columbani,radegundis_Fortunatus,388.4065265659692
48,columbani,radegundis_Fortunatus,239.30417692836957
49,columbani,radegundis_Fortunatus,195.19862548686115
50,columbani,Vedasti_Ionas_Bob,146.61425241425243
51,columbani,Vedasti_Ionas_Bob,68.88997198879554
52,columbani,Vedasti_Ionas_Bob,81.90197306992972
53,columbani,Vedasti_Ionas_Bob,70.14759395194177
54,columbani,Vedasti_Ionas_Bob,110.58424581953994
55,columbani,Vedasti_Ionas_Bob,117.70447330447331
56,columbani,Vedasti_Ionas_Bob,106.81530112044818
57,columbani,Vedasti_Ionas_Bob,66.57919254658384
58,columbani,Vedasti_Ionas_Bob,156.73513071895422
59,columbani,Vedasti_Ionas_Bob,94.35194805194804
60,germani,columbani,298.77332112332107
61,germani,columbani,197.960101010101
62,germani,columbani,266.7057692307693
63,germani,columbani,91.38446275946276
64,germani,columbani,103.49444444444443
65,germani,columbani,228.96283882783882
66,germani,columbani,318.9021645021645
67,germani,columbani,224.30765900765905
68,germani,columbani,197.0745238095238
69,germani,columbani,353.88750000000005
70,germani,johannes,148.72646529596994
71,germani,johannes,364.2828475871954
72,germani,johannes,358.46944444444443
73,germani,johannes,297.69358974358977
74,germani,johannes,167.04112554112552
75,germani,johannes,294.7373015873016
76,germani,johannes,109.15328054298644
77,germani,johannes,206.15714285714287
78,germani,johannes,137.70810606060607
79,germani,johannes,338.5434981684982
80,germani,leodegar_anon,211.50448717948717
81,germani,leodegar_anon,77.91626984126984
82,germani,leodegar_anon,166.4147342995169
83,germani,leodegar_anon,184.7102231102231
84,germani,leodegar_anon,145.08926577808157
85,germani,leodegar_anon,130.72761544011541
86,germani,leodegar_anon,121.63655674390968
87,germani,leodegar_anon,64.6502442002442
88,germani,leodegar_anon,134.97647717779296
89,germani,leodegar_anon,138.52301587301588
90,germani,leodegar_ursino,108.45591003199699
91,germani,leodegar_ursino,127.15808080808081
92,germani,leodegar_ursino,135.19015911624606
93,germani,leodegar_ursino,254.99496753246754
94,germani,leodegar_ursino,143.7055514959607
95,germani,leodegar_ursino,187.46026473526473
96,germani,leodegar_ursino,118.59841649578492
97,germani,leodegar_ursino,185.60122818358107
98,germani,leodegar_ursino,307.6552539565697
99,germani,leodegar_ursino,228.03728556916414
100,germani,radegundis_Fortunatus,313.9731060606061
101,germani,radegundis_Fortunatus,103.32406015037594
102,germani,radegundis_Fortunatus,156.06979686979685
103,germani,radegundis_Fortunatus,225.1268115942029
104,germani,radegundis_Fortunatus,158.59206751666187
105,germani,radegundis_Fortunatus,121.60041407867494
106,germani,radegundis_Fortunatus,124.3788766788767
107,germani,radegundis_Fortunatus,169.3082378405908
108,germani,radegundis_Fortunatus,129.4198912198912
