,Base Text,Comparison Text,Chi2 Statistic
0,columbani,germani,4487.405077462852
1,columbani,germani,4487.405077462852
2,columbani,germani,4487.405077462852
3,columbani,germani,4487.405077462852
4,columbani,germani,4487.405077462852
5,columbani,germani,4487.405077462852
6,columbani,germani,4487.405077462852
7,columbani,germani,4487.405077462852
8,columbani,germani,4487.405077462852
9,columbani,germani,4487.405077462852
10,columbani,johannes,4427.724628645989
11,columbani,johannes,4427.724628645989
12,columbani,johannes,4427.724628645989
13,columbani,johannes,4427.724628645989
14,columbani,johannes,4427.724628645989
15,columbani,johannes,4427.724628645989
16,columbani,johannes,4427.724628645989
17,columbani,johannes,4427.724628645989
18,columbani,johannes,4427.724628645989
19,columbani,johannes,4427.724628645989
20,columbani,leodegar_anon,8384.507833542188
21,columbani,leodegar_anon,8384.507833542188
22,columbani,leodegar_anon,8384.507833542188
23,columbani,leodegar_anon,8384.507833542188
24,columbani,leodegar_anon,8384.507833542188
25,columbani,leodegar_anon,8384.507833542188
26,columbani,leodegar_anon,8384.507833542188
27,columbani,leodegar_anon,8384.507833542188
28,columbani,leodegar_anon,8384.507833542188
29,columbani,leodegar_anon,8384.507833542188
30,columbani,leodegar_ursino,5746.638400468015
31,columbani,leodegar_ursino,5746.638400468015
32,columbani,leodegar_ursino,5746.638400468015
33,columbani,leodegar_ursino,5746.638400468015
34,columbani,leodegar_ursino,5746.638400468015
35,columbani,leodegar_ursino,5746.638400468015
36,columbani,leodegar_ursino,5746.638400468015
37,columbani,leodegar_ursino,5746.638400468015
38,columbani,leodegar_ursino,5746.638400468015
39,columbani,leodegar_ursino,5746.638400468015
40,columbani,radegundis_Fortunatus,9926.723329763066
41,columbani,radegundis_Fortunatus,9926.723329763066
42,columbani,radegundis_Fortunatus,9926.723329763066
43,columbani,radegundis_Fortunatus,9926.723329763066
44,columbani,radegundis_Fortunatus,9926.723329763066
45,columbani,radegundis_Fortunatus,9926.723329763066
46,columbani,radegundis_Fortunatus,9926.723329763066
47,columbani,radegundis_Fortunatus,9926.723329763066
48,columbani,radegundis_Fortunatus,9926.723329763066
49,columbani,radegundis_Fortunatus,9926.723329763066
50,columbani,Vedasti_Ionas_Bob,3479.2840647092507
51,columbani,Vedasti_Ionas_Bob,3479.2840647092507
52,columbani,Vedasti_Ionas_Bob,3479.2840647092507
53,columbani,Vedasti_Ionas_Bob,3479.2840647092507
54,columbani,Vedasti_Ionas_Bob,3479.2840647092507
55,columbani,Vedasti_Ionas_Bob,3479.2840647092507
56,columbani,Vedasti_Ionas_Bob,3479.2840647092507
57,columbani,Vedasti_Ionas_Bob,3479.2840647092507
58,columbani,Vedasti_Ionas_Bob,3479.2840647092507
59,columbani,Vedasti_Ionas_Bob,3479.2840647092507
60,germani,columbani,inf
61,germani,columbani,inf
62,germani,columbani,inf
63,germani,columbani,inf
64,germani,columbani,inf
65,germani,columbani,inf
66,germani,columbani,inf
67,germani,columbani,inf
68,germani,columbani,inf
69,germani,columbani,inf
70,germani,johannes,756.3000369677651
71,germani,johannes,756.3000369677651
72,germani,johannes,756.3000369677651
73,germani,johannes,756.3000369677651
74,germani,johannes,756.3000369677651
75,germani,johannes,756.3000369677651
76,germani,johannes,756.3000369677651
77,germani,johannes,756.3000369677651
78,germani,johannes,756.3000369677651
79,germani,johannes,756.3000369677651
80,germani,leodegar_anon,230.6437789359606
81,germani,leodegar_anon,230.6437789359606
82,germani,leodegar_anon,230.6437789359606
83,germani,leodegar_anon,230.6437789359606
84,germani,leodegar_anon,230.6437789359606
85,germani,leodegar_anon,230.6437789359606
86,germani,leodegar_anon,230.6437789359606
87,germani,leodegar_anon,230.6437789359606
88,germani,leodegar_anon,230.6437789359606
89,germani,leodegar_anon,230.6437789359606
90,germani,leodegar_ursino,178.8043108030686
91,germani,leodegar_ursino,178.8043108030686
92,germani,leodegar_ursino,178.8043108030686
93,germani,leodegar_ursino,178.8043108030686
94,germani,leodegar_ursino,178.8043108030686
95,germani,leodegar_ursino,178.8043108030686
96,germani,leodegar_ursino,178.8043108030686
97,germani,leodegar_ursino,178.8043108030686
98,germani,leodegar_ursino,178.8043108030686
99,germani,leodegar_ursino,178.8043108030686
100,germani,radegundis_Fortunatus,inf
101,germani,radegundis_Fortunatus,inf
102,germani,radegundis_Fortunatus,inf
103,germani,radegundis_Fortunatus,inf
104,germani,radegundis_Fortunatus,inf
105,germani,radegundis_Fortunatus,inf
106,germani,radegundis_Fortunatus,inf
107,germani,radegundis_Fortunatus,inf
108,germani,radegundis_Fortunatus,inf
109,germani,radegundis_Fortunatus,inf
110,germani,Vedasti_Ionas_Bob,689.7174516872342
111,germani,Vedasti_Ionas_Bob,689.7174516872342
112,germani,Vedasti_Ionas_Bob,689.7174516872342
113,germani,Vedasti_Ionas_Bob,689.7174516872342
114,germani,Vedasti_Ionas_Bob,689.7174516872342
115,germani,Vedasti_Ionas_Bob,689.7174516872342
116,germani,Vedasti_Ionas_Bob,689.7174516872342
117,germani,Vedasti_Ionas_Bob,689.7174516872342
118,germani,Vedasti_Ionas_Bob,689.7174516872342
119,germani,Vedasti_Ionas_Bob,689.7174516872342
120,johannes,columbani,inf
121,johannes,columbani,inf
122,johannes,columbani,inf
123,johannes,columbani,inf
124,johannes,columbani,inf
125,johannes,columbani,inf
126,johannes,columbani,inf
127,johannes,columbani,inf
128,johannes,columbani,inf
129,johannes,columbani,inf
