,Base Text,Comparison Text,Chi2 Statistic
0,columbani,germani,95.91404614477369
1,columbani,germani,77.28984040984815
2,columbani,germani,148.56785187193157
3,columbani,germani,70.30637657361795
4,columbani,germani,121.08658557625948
5,columbani,germani,41.282568339453285
6,columbani,germani,126.57241273219535
7,columbani,germani,105.14704099046425
8,columbani,germani,49.82532696062108
9,columbani,germani,108.7569264069264
10,columbani,germani,62.34195605735853
11,columbani,germani,94.25939259499594
12,columbani,germani,128.78149350649352
13,columbani,germani,57.828073633079356
14,columbani,germani,117.48360935017281
15,columbani,germani,122.58834791226433
16,columbani,germani,123.48241037899481
17,columbani,germani,153.5154761904762
18,columbani,germani,134.18797705299127
19,columbani,germani,42.47876185561944
20,columbani,germani,39.766826362492004
21,columbani,germani,114.03367802498572
22,columbani,germani,102.19492063492065
23,columbani,germani,65.76780112044818
24,columbani,germani,59.7638503309556
25,columbani,germani,75.67290764790765
26,columbani,germani,92.02266584766585
27,columbani,germani,122.60348520043644
28,columbani,germani,97.16583481877599
29,columbani,germani,79.21341066341066
30,columbani,germani,110.30184704184705
31,columbani,germani,98.28874875124876
32,columbani,germani,75.12318295739348
33,columbani,germani,103.77909035409037
34,columbani,germani,129.72453208556152
35,columbani,germani,103.28449163449163
36,columbani,germani,81.57858125706423
37,columbani,germani,65.13229776759188
38,columbani,germani,112.10710911895124
39,columbani,germani,119.07923534798533
40,columbani,germani,228.03708719680589
41,columbani,germani,103.15679224867205
42,columbani,germani,76.53692973692974
43,columbani,germani,142.36585277131448
44,columbani,germani,73.52697552705291
45,columbani,germani,114.61936911128088
46,columbani,germani,84.46349206349205
47,columbani,germani,55.06386152162013
48,columbani,germani,96.99241591741591
49,columbani,germani,123.62606442577031
50,columbani,germani,65.58012066762066
51,columbani,germani,116.0704430373548
52,columbani,germani,76.2178601355072
53,columbani,germani,66.17713940648723
54,columbani,germani,96.76956668632366
55,columbani,germani,60.03954964931709
56,columbani,germani,61.799481658692194
57,columbani,germani,83.9395704806889
58,columbani,germani,173.0312393488864
59,columbani,germani,121.3848241098241
60,columbani,germani,59.18433311539719
61,columbani,germani,98.49024924164242
62,columbani,germani,96.92997557997559
63,columbani,germani,80.39711399711399
64,columbani,germani,75.83635958635959
65,columbani,germani,104.49550618463662
66,columbani,germani,90.64383306366598
67,columbani,germani,50.22637721755369
