,Base Text,Comparison Text,Chi2 Statistic
0,columbani,germani,1178.9285257274387
1,columbani,germani,739.80263727534
2,columbani,germani,1397.536264667995
3,columbani,germani,1134.2248283518222
4,columbani,germani,1462.3141308577906
5,columbani,germani,1305.5842308017238
6,columbani,germani,1264.3956157970063
7,columbani,germani,910.8391533257732
8,columbani,germani,1313.407565374165
9,columbani,germani,1030.4747217335876
10,columbani,johannes,1677.6872283987025
11,columbani,johannes,1593.2785976275911
12,columbani,johannes,1968.5113949267197
13,columbani,johannes,1413.9375002658203
14,columbani,johannes,1564.2616148688007
15,columbani,johannes,1346.9297983422332
16,columbani,johannes,2272.0127095622797
17,columbani,johannes,1828.311557307427
18,columbani,johannes,1384.3513434343433
19,columbani,johannes,1318.7980696514248
20,columbani,leodegar_anon,2851.5109935936002
21,columbani,leodegar_anon,1994.4431148079511
22,columbani,leodegar_anon,2215.5956250708937
23,columbani,leodegar_anon,1800.705692162211
24,columbani,leodegar_anon,3301.238928869736
25,columbani,leodegar_anon,3009.419814808505
26,columbani,leodegar_anon,1108.338819880825
27,columbani,leodegar_anon,2406.6381089715446
28,columbani,leodegar_anon,1927.6947430758253
29,columbani,leodegar_anon,1017.8287291772735
30,columbani,leodegar_ursino,2451.1447791232777
31,columbani,leodegar_ursino,849.0134157411716
32,columbani,leodegar_ursino,1366.312196011314
33,columbani,leodegar_ursino,1864.4678903890758
34,columbani,leodegar_ursino,1495.6871881642342
35,columbani,leodegar_ursino,1586.0656295918893
36,columbani,leodegar_ursino,1626.8537633894675
37,columbani,leodegar_ursino,1107.3446582184256
38,columbani,leodegar_ursino,947.3897470187842
39,columbani,leodegar_ursino,2147.137258845689
40,columbani,radegundis_Fortunatus,3737.4514222309085
41,columbani,radegundis_Fortunatus,2211.0418273349464
42,columbani,radegundis_Fortunatus,3502.9519966950306
43,columbani,radegundis_Fortunatus,2356.205445319531
44,columbani,radegundis_Fortunatus,1798.9807177108714
45,columbani,radegundis_Fortunatus,3583.9798517946956
46,columbani,radegundis_Fortunatus,2332.088065560759
47,columbani,radegundis_Fortunatus,2918.504014326132
48,columbani,radegundis_Fortunatus,2508.940755120836
49,columbani,radegundis_Fortunatus,2705.9719537150518
50,columbani,Vedasti_Ionas_Bob,2305.4849795116775
51,columbani,Vedasti_Ionas_Bob,1294.866087351496
52,columbani,Vedasti_Ionas_Bob,1545.2991474404698
53,columbani,Vedasti_Ionas_Bob,1458.734913241711
54,columbani,Vedasti_Ionas_Bob,1936.2437201234939
55,columbani,Vedasti_Ionas_Bob,2614.3159972574927
56,columbani,Vedasti_Ionas_Bob,1579.4403574730954
57,columbani,Vedasti_Ionas_Bob,2618.3753586810863
58,columbani,Vedasti_Ionas_Bob,1875.3003194094213
59,columbani,Vedasti_Ionas_Bob,1419.0611887620505
60,germani,columbani,inf
61,germani,columbani,inf
62,germani,columbani,inf
63,germani,columbani,inf
64,germani,columbani,inf
65,germani,columbani,inf
66,germani,columbani,inf
67,germani,columbani,inf
68,germani,columbani,inf
69,germani,columbani,146.8539051226551
70,germani,johannes,336.06832298136646
71,germani,johannes,274.57542920042926
72,germani,johannes,307.5664256442482
73,germani,johannes,307.0483333333333
74,germani,johannes,220.60047619047623
75,germani,johannes,190.83218893429992
76,germani,johannes,227.30569430569432
77,germani,johannes,476.43152644456984
78,germani,johannes,179.41606726606724
79,germani,johannes,218.67685786435786
80,germani,leodegar_anon,inf
81,germani,leodegar_anon,inf
82,germani,leodegar_anon,inf
83,germani,leodegar_anon,inf
84,germani,leodegar_anon,inf
85,germani,leodegar_anon,inf
86,germani,leodegar_anon,inf
87,germani,leodegar_anon,110.1949135659662
88,germani,leodegar_anon,152.14510175814524
89,germani,leodegar_anon,inf
90,germani,leodegar_ursino,inf
91,germani,leodegar_ursino,inf
92,germani,leodegar_ursino,inf
93,germani,leodegar_ursino,104.21188767372978
94,germani,leodegar_ursino,inf
95,germani,leodegar_ursino,110.47812865497076
96,germani,leodegar_ursino,inf
97,germani,leodegar_ursino,inf
98,germani,leodegar_ursino,inf
99,germani,leodegar_ursino,inf
100,germani,radegundis_Fortunatus,inf
101,germani,radegundis_Fortunatus,inf
102,germani,radegundis_Fortunatus,inf
103,germani,radegundis_Fortunatus,inf
104,germani,radegundis_Fortunatus,inf
105,germani,radegundis_Fortunatus,inf
106,germani,radegundis_Fortunatus,inf
107,germani,radegundis_Fortunatus,inf
108,germani,radegundis_Fortunatus,inf
109,germani,radegundis_Fortunatus,inf
110,germani,Vedasti_Ionas_Bob,311.28245341614905
111,germani,Vedasti_Ionas_Bob,231.86470098528923
112,germani,Vedasti_Ionas_Bob,390.3556618819776
113,germani,Vedasti_Ionas_Bob,289.91592477570737
114,germani,Vedasti_Ionas_Bob,188.53232323232325
115,germani,Vedasti_Ionas_Bob,139.283265753854
116,germani,Vedasti_Ionas_Bob,306.21755925234186
117,germani,Vedasti_Ionas_Bob,275.61596638655465
118,germani,Vedasti_Ionas_Bob,219.20202684742156
119,germani,Vedasti_Ionas_Bob,161.42555916305918
120,johannes,columbani,inf
121,johannes,columbani,inf
122,johannes,columbani,inf
