Bins,Counts
7.30207732083,298
7.95121508122,367
8.6003528416,531
9.24949060199,246
9.89862836238,226
10.5477661228,429
11.1969038832,509
11.8460416435,665
12.4951794039,482
13.1443171643,264
13.7934549247,137
14.4425926851,404
15.0917304455,245
15.7408682059,388
16.3900059663,194
17.0391437266,301
17.688281487,264
18.3374192474,461
18.9865570078,894
19.6356947682,956
20.2848325286,558
20.933970289,300
21.5831080494,416
22.2322458097,347
22.8813835701,118
