Bins,Counts
12.6838592169,316
13.712936362,553
14.7420135071,712
15.7710906522,696
16.8001677973,988
17.8292449424,797
18.8583220875,690
19.8873992326,970
20.9164763777,427
21.9455535228,273
22.9746306679,266
24.003707813,188
25.0327849581,263
26.0618621032,373
27.0909392483,156
28.1200163934,153
29.1490935385,243
30.1781706836,308
31.2072478287,367
32.2363249738,145
33.265402119,243
34.2944792641,372
35.3235564092,149
36.3526335543,285
37.3817106994,67
