Bins,Counts
8.74652014652,7
18.7118021978,30
28.6770842491,79
38.6423663004,114
48.6076483516,116
58.5729304029,151
68.5382124542,124
78.5034945055,101
88.4687765568,97
98.4340586081,57
108.399340659,40
118.364622711,27
128.329904762,17
138.295186813,10
148.260468864,11
158.225750916,5
168.191032967,1
178.156315018,4
188.12159707,1
198.086879121,3
208.052161172,2
218.017443223,0
227.982725275,0
237.948007326,1
247.913289377,2
