Bins,Counts
8.70925458464,227
22.4969638918,1790
36.2846731989,2854
50.072382506,2189
63.8600918132,1298
77.6478011203,740
91.4355104274,361
105.223219735,169
119.010929042,89
132.798638349,87
146.586347656,75
160.374056963,53
174.16176627,25
187.949475577,10
201.737184885,11
215.524894192,7
229.312603499,3
243.100312806,3
256.888022113,3
270.67573142,0
284.463440727,0
298.251150034,4
312.038859342,1
325.826568649,0
339.614277956,1
