Bins,Counts
13.6944338623,11
17.9949209876,32
22.2954081129,67
26.5958952382,100
30.8963823634,123
35.1968694887,127
39.497356614,129
43.7978437393,116
48.0983308646,90
52.3988179899,62
56.6993051151,35
60.9997922404,38
65.3002793657,26
69.600766491,11
73.9012536163,9
78.2017407416,7
82.5022278668,6
86.8027149921,4
91.1032021174,1
95.4036892427,1
99.704176368,2
104.004663493,0
108.305150619,2
112.605637744,0
116.906124869,1
